"neuroPort/adc1115/voltage0,b'-0.30'"
"neuroPort/adc1115/voltage0,b'-0.09'"
"neuroPort/adc1115/voltage0,b'0.53'"
"neuroPort/adc1115/voltage0,b'0.54'"
"neuroPort/adc1115/voltage0,b'0.53'"
"neuroPort/adc1115/voltage0,b'0.50'"
"neuroPort/adc1115/voltage0,b'-0.19'"
"neuroPort/adc1115/voltage0,b'-0.30'"
"neuroPort/adc1115/voltage0,b'-0.30'"
"neuroPort/adc1115/voltage0,b'-0.25'"
"neuroPort/adc1115/voltage0,b'0.48'"
"neuroPort/adc1115/voltage0,b'0.53'"
"neuroPort/adc1115/voltage0,b'0.53'"
"neuroPort/adc1115/voltage0,b'0.53'"
"neuroPort/adc1115/voltage0,b'0.50'"
"neuroPort/adc1115/voltage0,b'-0.27'"
"neuroPort/adc1115/voltage0,b'-0.29'"
"neuroPort/adc1115/voltage0,b'-0.29'"
"neuroPort/adc1115/voltage0,b'0.49'"
"neuroPort/adc1115/voltage0,b'0.54'"
"neuroPort/adc1115/voltage0,b'0.53'"
"neuroPort/adc1115/voltage0,b'0.52'"
"neuroPort/adc1115/voltage0,b'0.51'"
"neuroPort/adc1115/voltage0,b'-0.25'"
"neuroPort/adc1115/voltage0,b'-0.29'"
"neuroPort/adc1115/voltage0,b'-0.30'"
"neuroPort/adc1115/voltage0,b'0.28'"
"neuroPort/adc1115/voltage0,b'0.53'"
"neuroPort/adc1115/voltage0,b'0.54'"
"neuroPort/adc1115/voltage0,b'0.53'"
"neuroPort/adc1115/voltage0,b'0.52'"
"neuroPort/adc1115/voltage0,b'-0.15'"
"neuroPort/adc1115/voltage0,b'-0.30'"
"neuroPort/adc1115/voltage0,b'-0.29'"
"neuroPort/adc1115/voltage0,b'-0.23'"
"neuroPort/adc1115/voltage0,b'0.52'"
"neuroPort/adc1115/voltage0,b'0.53'"
"neuroPort/adc1115/voltage0,b'0.54'"
"neuroPort/adc1115/voltage0,b'0.52'"
"neuroPort/adc1115/voltage0,b'0.49'"
"neuroPort/adc1115/voltage0,b'-0.29'"
"neuroPort/adc1115/voltage0,b'-0.29'"
"neuroPort/adc1115/voltage0,b'-0.29'"
"neuroPort/adc1115/voltage0,b'0.49'"
"neuroPort/adc1115/voltage0,b'0.54'"
"neuroPort/adc1115/voltage0,b'0.54'"
"neuroPort/adc1115/voltage0,b'0.53'"
"neuroPort/adc1115/voltage0,b'0.53'"
"neuroPort/adc1115/voltage0,b'-0.18'"
"neuroPort/adc1115/voltage0,b'-0.30'"
"neuroPort/adc1115/voltage0,b'-0.30'"
"neuroPort/adc1115/voltage0,b'-0.17'"
"neuroPort/adc1115/voltage0,b'0.53'"
"neuroPort/adc1115/voltage0,b'0.54'"
